merTbin,tempbin,merQVbin,dglaciation,dcloudthickness,alln,merT,temp,merQV
17,17,3,-0.5313955408458,-0.0348114093577796,218150,-10,-10,0.002
16,17,2,0.194493301346057,-0.0556392437648126,46920,-13.75,-10,0.001
16,17,3,-0.747566830553033,-0.146648451647099,56713,-13.75,-10,0.002
16,17,1,3.94759945440433,0.21663878981111,7509,-13.75,-10,0
15,17,1,-8.61559363514078,-0.0212149549643375,1121,-17.5,-10,0
13,12,1,-1.57129127002328,-0.114670533488111,10563,-25,-28.75,0
12,12,1,6.41749911727429,-0.0467141060581282,17958,-28.75,-28.75,0
18,18,3,-0.854813074402514,-0.021445089009184,36795,-6.25,-6.25,0.002
18,18,2,0.705728430269311,0.111610897817245,24621,-6.25,-6.25,0.001
17,18,3,-1.16605116278484,0.016834096392496,29605,-10,-6.25,0.002
17,18,4,-0.232257865341055,-0.32476392888244,14194,-10,-6.25,0.003
17,16,2,-2.45200577556211,-0.216685074834689,35588,-10,-13.75,0.001
17,16,1,5.70752776635129,0.00548559338602761,9390,-10,-13.75,0
13,NA,1,1.66752047286657,0.0528671402698646,4991,-25,NA,0
17,17,1,-1.41243918212506,0.0745484391492921,21646,-10,-10,0
12,13,1,0.172454604969218,0.122891905287107,14294,-28.75,-25,0
16,NA,2,-0.00768715455955515,0.0320575556017282,45954,-13.75,NA,0.001
19,NA,1,-7.33266129032258,-0.00614969780406538,783,-2.5,NA,0
19,NA,2,0.0747519718580811,0.29735267936775,2821,-2.5,NA,0.001
18,19,2,1.72671829704585,0.511306833943009,2268,-6.25,-2.5,0.001
16,NA,1,-1.50307079859738,0.0741987349047357,8268,-13.75,NA,0
