lonbin,latbin,zbin,N,meandust,mean_overlap,fmid,area
7,56,3,256,2347.40495882278,0.090808601739112,1.67108522486687,308513.300022754
7,56,4,531,2362.87855731105,0.0387688321605205,2.73681318270868,308513.300022754
7,56,5,293,2549.93842653129,0.00338691608264075,4.72270109771624,308513.300022754
7,56,6,224,2234.9258134217,0.0101992409867173,6.67072600500924,308513.300022754
7,56,7,110,2161.79477684883,0.018488765524647,8.51221407914595,308513.300022754
-21,63,8,8185,964.771003901416,0.00466933228033731,9.94035571524702,242615.807744197
-91,63,1,21395,1107.34123595631,0.0153839425077638,0.479840882243606,242615.807744197
-91,63,2,43058,1285.1972134576,0.0100751462413155,1.04989958723654,242615.807744197
-91,63,3,19711,1478.50862074134,0.00724196947668126,1.63071963935571,242615.807744197
-91,63,4,49636,1624.02532498548,0.00410798770634932,2.68674177850445,242615.807744197
-91,63,5,31327,1650.37126330867,0.00406718604150086,4.64941108394463,242615.807744197
-91,63,6,21136,1512.11067665798,0.00755921666834781,6.57570318511686,242615.807744197
-91,63,7,11596,1417.43328560226,0.00483173620340058,8.33656595288659,242615.807744197
-91,63,8,6894,1044.04868893825,0.00624377955811403,9.93798047250383,242615.807744197
-84,63,1,37884,1139.14829896785,0.024171625356263,0.483821746462767,242615.807744197
-84,63,2,86873,1248.61132768757,0.0181234619418297,1.04774125662464,242615.807744197
-84,63,3,35640,1408.36111543772,0.0172564904876496,1.63192275861147,242615.807744197
-84,63,4,95255,1494.47917602863,0.00910401633074004,2.67308803387292,242615.807744197
-84,63,7,21548,1346.29395764855,0.0112750799558177,8.31216253159054,242615.807744197
63,63,1,5101,2024.45036948542,0.0538989807084566,0.476665250860086,242615.807744197
63,63,2,10432,2219.68395045175,0.0391151364386042,1.04622031680938,242615.807744197
63,63,3,4606,2538.17917902708,0.0412657388149045,1.63143980094323,242615.807744197
63,63,4,11415,2424.16423799732,0.0130656678081921,2.68206872069083,242615.807744197
63,63,5,7369,2143.49414011566,0.00152023672961521,4.65638667735311,242615.807744197
63,63,6,4981,1920.20672352981,9.25150326606015e-05,6.5985939231433,242615.807744197
63,63,7,2784,1655.24021693805,0.00897486248585751,8.38911720473191,242615.807744197
63,63,8,1377,1096.48451259565,0.00619138529881935,9.94103976371726,242615.807744197
-49,77,1,867,1528.90358334656,0,0.607211582971417,79321.9804197979
77,63,1,1097,2256.58553122277,0.0574293527803099,0.469308917974926,242615.807744197
77,63,2,2118,2518.53180373875,0.0537377896885121,1.05049354189404,242615.807744197
77,63,3,971,2714.47074851904,0.0407368394296439,1.63414930805242,242615.807744197
77,63,4,2400,2669.54349736351,0.0167316816469453,2.68897946881612,242615.807744197
77,63,5,1507,2709.71854932418,0.00336682288622011,4.65192750278972,242615.807744197
77,63,6,1019,2201.61512908194,6.2601527048863e-05,6.60706385690916,242615.807744197
77,63,7,595,1835.85289701607,0.00829942338308555,8.38905074657793,242615.807744197
77,63,8,297,1326.41890548951,0.0191007843736048,9.94804119071575,242615.807744197
168,56,1,7680,1375.44519589716,0.0583814179657204,0.478811072139939,308513.300022754
168,56,2,14858,1498.07703839186,0.0439078905616666,1.047123451084,308513.300022754
168,56,3,6774,1607.37863085054,0.0306235658764445,1.63922222118755,308513.300022754
168,56,4,16227,1879.1238597624,0.0178945061611942,2.69239943857887,308513.300022754
168,56,5,10206,2107.81965922912,0.00927635471572082,4.66418946648504,308513.300022754
